0,Argentina,4.75,3.06,1.55,1.51,-50.78,
1,Australia,3.25,1.33,2.44,1.03,-22.47,
2,Brazil,6.2,2.26,2.74,1.97,-12.97,
3,Britain,1.88,0.57,3.32,0.6,-5.01,
4,Canada,3.52,1.17,3.01,1.12,-4.52,
5,Chile,1560.0,522.75,2.98,495.24,-5.26,
6,China,10.5,8.06,1.3,3.33,-58.66,
7,Colombia,,,,,,
8,Costa Rica,,,,,,
9,Czech Republic,62.0,23.84,2.6,19.68,-17.43,
10,Denmark,27.75,6.18,4.49,8.81,42.62,
11,Egypt,9.25,5.74,1.61,2.94,-48.84,
12,Euro area,2.91,0.83,3.51,0.92,11.55,
13,Hong Kong,12.0,7.75,1.55,3.81,-50.85,
14,Hungary,560.0,206.96,2.71,177.78,-14.1,
15,India,,,,,,
16,Indonesia,14600.0,9460.0,1.54,4634.92,-51.01,
17,Israel,,,,,,
18,Japan,250.0,114.31,2.19,79.37,-30.57,
19,Latvia,,,,,,
20,Lithuania,,,,,,
21,Malaysia,5.5,3.75,1.47,1.75,-53.42,
22,Mexico,28.0,10.54,2.66,8.89,-15.69,
23,New Zealand,4.45,1.45,3.08,1.41,-2.35,
24,Norway,,,,,,
25,Pakistan,,,,,,
26,Peru,9.5,3.45,2.76,3.02,-12.48,
27,Philippines,82.0,52.58,1.56,26.03,-50.49,
28,Poland,6.5,3.12,2.09,2.06,-33.76,
29,Russia,46.0,28.67,1.6,14.6,-49.06,
30,Saudi Arabia,,,,,,
31,Singapore,3.6,1.64,2.2,1.14,-30.11,
32,South Africa,13.95,6.08,2.29,4.43,-27.17,
33,South Korea,2500.0,977.45,2.56,793.65,-18.8,
34,Sri Lanka,,,,,,
35,Sweden,33.0,7.71,4.28,10.48,35.84,
36,Switzerland,6.3,1.28,4.93,2.0,56.54,
37,Taiwan,75.0,31.95,2.35,23.81,-25.48,
38,Thailand,60.0,39.76,1.51,19.05,-52.09,
39,Turkey,4.1,1.34,3.07,1.3,-2.61,
40,UAE,,,,,,
41,Ukraine,,,,,,
42,United States,3.15,1.0,3.15,1.0,0.0,
43,Uruguay,,,,,,
44,Venezuela,5900.0,2615.92,2.26,1873.02,-28.4,
