0,Argentina,21.0,6.92,3.03,4.54,-34.39
1,Australia,5.05,1.13,4.47,1.09,-3.26
2,Brazil,12.4,2.36,5.25,2.68,13.48
3,Britain,2.79,0.6,4.63,0.6,0.06
4,Canada,5.54,1.11,5.01,1.2,8.41
5,Chile,2000.0,541.95,3.69,432.51,-20.19
6,China,16.6,6.05,2.74,3.59,-40.68
7,Colombia,8600.0,1982.8,4.34,1859.79,-6.2
8,Costa Rica,2150.0,501.92,4.28,464.95,-7.37
9,Czech Republic,70.45,20.28,3.47,15.24,-24.89
10,Denmark,28.5,5.5,5.18,6.16,12.03
11,Egypt,16.93,6.96,2.43,3.66,-47.4
12,Euro area,3.657962724,0.74,4.96,0.79,7.3
13,Hong Kong,18.0,7.76,2.32,3.89,-49.82
14,Hungary,860.0,223.1,3.85,185.98,-16.64
15,India,95.0,61.85,1.54,20.54,-66.78
16,Indonesia,27939.0,12140.0,2.3,6041.95,-50.23
17,Israel,17.5,3.49,5.02,3.78,8.49
18,Japan,310.0,104.25,2.97,67.04,-35.69
19,Lithuania,8.8,2.55,3.46,1.9,-25.24
20,Malaysia,7.4,3.32,2.23,1.6,-51.85
21,Mexico,37.0,13.33,2.78,8.0,-39.99
22,New Zealand,5.5,1.2,4.57,1.19,-1.13
23,Norway,48.0,6.16,7.8,10.38,68.58
24,Pakistan,320.0,105.42,3.04,69.2,-34.35
25,Peru,10.0,2.81,3.56,2.16,-22.94
26,Philippines,135.0,45.23,2.98,29.19,-35.45
27,Poland,9.2,3.07,3.0,1.99,-35.16
28,Russia,89.0,33.94,2.62,19.25,-43.29
29,Saudi Arabia,11.0,3.75,2.93,2.38,-36.57
30,Singapore,4.6,1.28,3.6,0.99,-22.21
31,South Africa,23.5,10.88,2.16,5.08,-53.28
32,South Korea,3700.0,1067.3,3.47,800.14,-25.03
33,Sri Lanka,350.0,130.8,2.68,75.69,-42.13
34,Sweden,40.7,6.47,6.29,8.8,35.97
35,Switzerland,6.5,0.91,7.14,1.41,54.46
36,Taiwan,79.0,30.16,2.62,17.08,-43.36
37,Thailand,96.0,32.88,2.92,20.76,-36.85
38,Turkey,8.5,2.26,3.76,1.84,-18.72
39,UAE,12.0,3.67,3.27,2.6,-29.35
40,Ukraine,19.0,8.38,2.27,4.11,-50.96
41,United States,4.62,1.0,4.62,1.0,0.0
42,Uruguay,105.0,21.38,4.91,22.71,6.21
43,Venezuela,45.0,6.29,7.15,9.73,54.66
44,Vietnam,60000.0,21090.0,2.84,12975.31,-38.476
45,Austria,3.39,0.74,4.6,0.73,-0.56
46,Belgium,3.95,0.74,5.36,0.85,15.87
47,Estonia,2.8,0.74,3.8,0.61,-17.86
48,Finland,4.1,0.74,5.56,0.89,20.27
49,France,3.8,0.74,5.15,0.82,11.47
50,Germany,3.67,0.74,4.98,0.79,7.66
51,Greece,3.05,0.74,4.14,0.66,-10.53
52,Ireland,3.46,0.74,4.69,0.75,1.5
53,Italy,3.85,0.74,5.22,0.83,12.94
54,Netherlands,3.45,0.74,4.68,0.75,1.2
55,Portugal,3.0,0.74,4.07,0.65,-12.0
56,Spain,3.65,0.74,4.95,0.79,7.07
